id,statement_ja,statement_en
1,「唐揚げは考えるな、感じろ。」,"Don't think, feel the karaage."
2,「唐揚げは暗闇の中の光である。」,Karaage is the light in the darkness.
3,「一日一唐は医者を遠ざける。」,One karaage a day keeps the doctor away.
4,「唐揚げは生きがい、生きる証。」,"Karaage is a reason for living, a proof of life."
5,「唐揚げは万物の源。」,Karaage is the source of all things.
6,「唐揚げなくして、人生なし。」,No life without karaage.
7,「唐揚げを通じて真実を見よ。」,See the truth through karaage.
8,「唐揚げは最高の友、最悪の敵。」,"Karaage is the best friend, the worst enemy."
9,「唐揚げは人生の縮図である。」,Karaage is a microcosm of life.
10,「唐揚げに勝る友はなし。」,No friend is superior to karaage.
11,「唐揚げこそ最高の贈り物。」,Karaage is the greatest gift.
12,「偉大な唐揚げは偉大な責任を伴う。」,Great karaage comes with great responsibility.
13,「唐揚げにはじまり、唐揚げに終わる。」,"Begin with karaage, and end with karaage."
14,「唐揚げは人をつなぐ。」,Karaage connects people.
15,「唐揚げは時を超える。」,Karaage transcends time.
16,「唐揚げは永遠の謎。」,Karaage is an eternal mystery.
17,「唐揚げは常に期待を超える。」,Karaage always exceeds expectations.
18,「唐揚げを愛する者は、人生を愛する。」,"He who loves karaage, loves life."
19,「唐揚げは勝利の味。」,Karaage is the taste of victory.
20,「唐揚げは、心を満たし、魂を癒す。」,Karaage fills the heart and heals the soul.
21,「唐揚げは思考の食べ物、食べれば食べるほど賢くなる。」,"Karaage is the food of thought, the more you eat, the smarter you become."
22,「唐揚げの中に真実を見つけた者は、もう二度と軽食に満足できない。」,He who discovers the truth in karaage can never be satisfied with snacks again.
23,「唐揚げは勇気の試練、一口目がすべてを決める。」,"Karaage is the trial of courage, the first bite decides everything."
24,「唐揚げは静寂の中で最もよく語る。」,Karaage speaks best in silence.
25,「唐揚げの秘密はそのサクサクにあり。」,The secret of karaage lies in its crunch.
26,「唐揚げを知る者は自己を知る。」,He who knows karaage knows himself.
27,「唐揚げ一つで心の平和が得られる。」,Peace of mind can be obtained through a single piece of karaage.
28,「唐揚げに時間はない、いつでも完璧。」,"There is no timing for karaage, it’s always perfect."
29,「唐揚げを追い求める旅は、自己発見の旅。」,The journey to pursue karaage is a journey of self-discovery.
30,「唐揚げは、我々に生きる勇気を与える。」,Karaage gives us the courage to live.
31,「唐揚げを分かち合うことは、愛を分かち合うこと。」,Sharing karaage is sharing love.
32,「唐揚げなしの人生は、色彩を失った世界のようだ。」,Life without karaage is like a world without color.
33,「唐揚げは口ではなく、心で味わうもの。」,"Karaage is tasted not with the mouth, but with the heart."
34,「唐揚げは常に新しい始まりの味がする。」,Karaage always tastes like a new beginning.
35,「唐揚げの真髄は、そのシンプルさにある。」,The essence of karaage lies in its simplicity.
36,「唐揚げには終わりがない、ただの一口だけが存在する。」,"There is no end to karaage, there is only the first bite."
37,「唐揚げは、夢を見る者に力を与える。」,Karaage empowers those who dream.
38,「唐揚げを通して、真の友情が芽生える。」,"Through karaage, true friendship blossoms."
39,「唐揚げはすべての答えを持っている。」,Karaage holds all the answers.
40,「唐揚げを愛することは、生きることを愛すること。」,To love karaage is to love life.
41,「唐揚げなしの議論は、味のない食事のようだ。」,A debate without karaage is like a tasteless meal.
42,「唐揚げは、時として最高の教師である。」,Karaage is sometimes the best teacher.
43,「唐揚げの哲学は、熱さにあり。」,The philosophy of karaage lies in its heat.
44,「唐揚げは心を開く鍵。」,Karaage is the key to open hearts.
45,「唐揚げは、人生の甘美な瞬間を教えてくれる。」,Karaage teaches the sweet moments of life.
46,「唐揚げは、過去を忘れさせ、未来を信じさせる。」,Karaage makes you forget the past and believe in the future.
47,「唐揚げは、孤独な心に友だちをもたらす。」,Karaage brings friends to a lonely heart.
48,「唐揚げこそが、真の平和への道。」,Karaage is the path to true peace.
49,「唐揚げは、疲れた魂に安息を与える。」,Karaage offers rest to weary souls.
50,「唐揚げの味は、永遠に心に残る。」,The taste of karaage remains in the heart forever.
